data_inicio,data_fim,id_evento,gravidade,descricao,latitude,longitude,tipo_ocorrencia
2022-01-29 23:40:18.000000 UTC,2022-01-30 01:00:19.000000 UTC,70622,Baixo,"Rua tonelero, alt. r. siqueira campos - copacabana",-22.966589,-43.185360300000013,Bolsão d'água em via
2022-01-08 01:53:33.000000 UTC,2022-01-08 02:34:40.000000 UTC,69971,Baixo,"R. tonelero, 216 - copacabana",-22.9671127,-43.1861562,Bolsão d'água em via
2022-01-29 15:23:10.000000 UTC,2022-01-29 15:57:28.000000 UTC,70587,Baixo,"Av. brasil, alt. r. filomena nunes - olaria - sent. centro",-22.8382094,-43.2560382,Bolsão d'água em via
2022-01-11 17:08:24.000000 UTC,2022-01-11 19:05:49.000000 UTC,70088,Baixo,Av. brasil - benfica - sent. zona oeste,-22.8850574,-43.2351722,Bolsão d'água em via
2022-01-07 18:06:54.000000 UTC,2022-01-07 20:47:24.000000 UTC,69959,Baixo,Av. brasil - manguinhos - sent. z. oeste,-22.8790547,-43.2401616,Bolsão d'água em via
2022-01-29 15:11:13.000000 UTC,2022-01-29 16:33:21.000000 UTC,70584,Baixo,"Av. brasil, alt. piscinão de ramos - sent. z. oeste",-22.8481099,-43.2467389,Bolsão d'água em via
2022-01-16 19:42:17.000000 UTC,2022-01-16 20:30:11.000000 UTC,70214,Baixo,"Estrada do galeão, 1 - portuguesa",-22.816658,-43.187333,Bolsão d'água em via
2022-01-16 17:01:28.000000 UTC,2022-01-16 18:09:43.000000 UTC,70209,Baixo,"R. felipe cardoso, alt. av. eng gastão rangel - santa cruz",-22.9277194,-43.6772512,Bolsão d'água em via
2022-01-11 18:08:49.000000 UTC,2022-01-11 18:17:12.000000 UTC,70107,Baixo,"R. frei caneca, 414 - cidade nova",-22.9138664,-43.2003077,Bolsão d'água em via
2022-01-11 17:37:29.000000 UTC,2022-01-11 18:43:38.000000 UTC,70098,Baixo,"Av. pres. vargas, alt. cidade nova - cidade nova",-22.9013228,-43.1790716,Bolsão d'água em via
2022-01-29 15:19:52.000000 UTC,2022-01-29 16:07:14.000000 UTC,70586,Baixo,"Av. presidente vargas, alt. do cass – cidade nova - sent. av. brasil",-22.9098393,-43.206416399999988,Bolsão d'água em via
2022-01-29 17:47:28.000000 UTC,2022-01-29 18:41:17.000000 UTC,70610,Baixo,"R. cândido benício, alt. vila olimpica  - praça seca - sent. tanque",-22.9051007,-43.3575012,Bolsão d'água em via
2022-01-29 15:28:21.000000 UTC,2022-01-29 15:56:14.000000 UTC,70589,Baixo,"R. cândido benício, alt. r. godofredo viana - praça seca",-22.8989213,-43.3530551,Bolsão d'água em via
2022-01-10 12:36:54.000000 UTC,2022-01-10 19:22:04.000000 UTC,70046,Baixo,Praça aquidauana - alt. do carioca shopping vila cosmos,-22.8505132,-43.309113,Bolsão d'água em via
2022-01-11 16:52:11.000000 UTC,2022-01-11 17:35:52.000000 UTC,70082,Baixo,"R,. josé do patrocínio - alt. r. visc. de santa isabel - grajaú",-22.917311,-43.2629885,Bolsão d'água em via
2022-01-11 17:15:01.000000 UTC,2022-01-11 17:47:36.000000 UTC,70091,Baixo,"Boulevard 28 de setembro, alt. uerj - vila isabel",-22.913516843728512,-43.235337235659777,Bolsão d'água em via
2022-01-30 20:25:36.000000 UTC,2022-01-30 20:33:42.000000 UTC,70652,Baixo,Buraco do padre - engenho novo,-22.9020841,-43.2656087,Bolsão d'água em via
2022-01-30 20:49:53.000000 UTC,2022-01-30 22:21:13.000000 UTC,70654,Baixo,Buraco do padre - engenho novo,-22.9020841,-43.2656087,Bolsão d'água em via
2022-01-11 16:47:09.000000 UTC,2022-01-11 17:53:17.000000 UTC,70081,Baixo,R. vinte e quatro de maio - alt. r. cônego tobias - eng. novo,-22.9024799,-43.2777458,Bolsão d'água em via
2022-01-07 10:32:33.000000 UTC,2022-01-07 10:34:58.000000 UTC,69943,Baixo,Rua ilha fiscal - ilha do governador,-22.8969444,-43.1669444,Bolsão d'água em via
2022-01-06 20:24:17.000000 UTC,2022-01-07 00:23:12.000000 UTC,69917,Baixo,R. oscar alfredo sebastião cox - atras do sesc - jacarepaguá,-22.9624675,-43.3615562,Bolsão d'água em via
2022-01-29 17:59:37.000000 UTC,2022-01-29 21:01:32.000000 UTC,70612,Baixo,"R. antônio cordeiro, 281 - jacarepaguá",-22.9427697,-43.3375179,Bolsão d'água em via
2022-01-07 06:48:04.000000 UTC,2022-01-07 16:54:13.000000 UTC,69923,Baixo,Av. eng. souza filho - muzema - jacarepaguá,-22.9720927,-43.337000499999988,Bolsão d'água em via
2022-01-29 16:21:40.000000 UTC,2022-01-29 20:44:00.000000 UTC,70601,Baixo,"R. duarte da costa, 103 - bento ribeiro",-22.8675544,-43.3670045,Bolsão d'água em via
2022-01-07 11:15:40.000000 UTC,2022-01-07 16:47:25.000000 UTC,69947,Baixo,Av. albérico diniz - alt. r. pacifico pereira - jardim sulacap,-22.8871322,-43.3889652,Bolsão d'água em via
2022-01-11 19:32:28.000000 UTC,2022-01-11 19:47:25.000000 UTC,70120,Baixo,Estr. do catonho - alt. estrada do cafundá  - jardim sulacap - ambos sentidos,-22.9046859,-43.3802044,Bolsão d'água em via
2022-01-07 11:17:16.000000 UTC,2022-01-07 11:18:45.000000 UTC,69948,Baixo,Av. marechal fontenele - alt. museu aeroespacial - jardim sulacap,-22.8850331,-43.3905378,Bolsão d'água em via
2022-01-28 21:21:27.000000 UTC,2022-01-28 22:18:46.000000 UTC,70570,Baixo,"Rua das tulípas, r. das camélias - vila valqueire",-22.883199,-43.3670766,Bolsão d'água em via
2022-01-28 20:42:49.000000 UTC,2022-01-28 21:17:22.000000 UTC,70569,Baixo,Praça saiqui - vila valqueire,-22.8829334,-43.3678489,Bolsão d'água em via
2022-01-07 08:24:28.000000 UTC,2022-01-07 08:27:06.000000 UTC,69931,Baixo,Av. das américas - alt. esplanada da barra - barra - sent. são conrado,-23.000707,-43.3523752,Bolsão d'água em via
2022-01-07 08:02:06.000000 UTC,2022-01-07 09:07:14.000000 UTC,69927,Baixo,Av. das américas - alt. barra shopping - barra da tijuca - sent. são conrado,-23.0001865622728,-43.359371344982925,Bolsão d'água em via
2022-01-03 20:13:25.000000 UTC,2022-01-03 21:29:55.000000 UTC,69836,Baixo,"Estr. roberto burle marx, 727 - barra guaratiba",-23.0114486,-43.541246400000013,Bolsão d'água em via
2022-01-30 22:09:33.000000 UTC,2022-01-30 23:46:34.000000 UTC,70661,Baixo,Av. brasil - alt. garagem itapemirim - parada de lucas - sent. centro.,-22.8189943,-43.2849846,Bolsão d'água em via
2022-01-11 17:54:08.000000 UTC,2022-01-11 19:27:18.000000 UTC,70103,Baixo,"R. getúlio, 13 - todos os santos",-22.8975996,-43.2819609,Bolsão d'água em via
2022-01-11 17:13:19.000000 UTC,2022-01-11 18:58:41.000000 UTC,70090,Baixo,"Rua uçá, 472 - jardim guanabara",-22.8170464,-43.2016845,Bolsão d'água em via
2022-01-16 20:56:20.000000 UTC,2022-01-16 21:34:32.000000 UTC,70226,Baixo,"Estrada da bica, 386 - jardim guanabara",-22.8189087,-43.1882652,Bolsão d'água em via
2022-01-08 06:22:25.000000 UTC,2022-01-08 11:59:55.000000 UTC,69978,Baixo,Av. brasil - alt. rua são cristóvão - são cristóvão - sent. centro,-22.8930301,-43.215946500000008,Bolsão d'água em via
